ts,lat,lon,sog
2021-12-13 06:47:37,55.23476,14.22891,8.4
2021-12-13 06:47:40,55.234893,14.229037,8.1
2021-12-13 06:47:44,55.234985,14.229132,7.3
2021-12-13 06:47:47,55.23511,14.229245,7.3
2021-12-13 06:47:51,55.23519,14.229345,6.9
2021-12-13 06:47:54,55.23527,14.229452,7.6
2021-12-13 06:47:57,55.235377,14.229625,7.7
2021-12-13 06:48:00,55.235428,14.229705,7.4
2021-12-13 06:48:04,55.235575,14.2299,7.7
2021-12-13 06:48:07,55.235663,14.229975,6.1
2021-12-13 06:48:10,55.235715,14.230013,6.8
2021-12-13 06:48:14,55.235832,14.230118,6.8
2021-12-13 06:48:17,55.235942,14.230218,7.3
2021-12-13 06:48:21,55.236062,14.230308,7.0
2021-12-13 06:48:24,55.236118,14.230357,6.4
2021-12-13 06:48:28,55.23623,14.230415,5.6
2021-12-13 06:48:31,55.236295,14.230437,1.7
2021-12-13 06:48:34,55.236317,14.230442,3.3
2021-12-13 06:48:37,55.236363,14.230455,4.0
2021-12-13 06:48:40,55.236443,14.230485,5.3
2021-12-13 06:48:44,55.236508,14.230513,5.1
2021-12-13 06:48:47,55.236587,14.230533,6.2
2021-12-13 06:48:51,55.23669,14.230573,5.8
2021-12-13 06:48:57,55.236897,14.230587,6.6
2021-12-13 06:49:00,55.23696,14.23059,7.1
2021-12-13 06:49:04,55.237093,14.230582,7.6
2021-12-13 06:49:07,55.237202,14.230568,8.2
2021-12-13 06:49:10,55.237313,14.230585,7.8
2021-12-13 06:49:14,55.237445,14.230613,7.6
2021-12-13 06:49:17,55.23759,14.230673,7.8
2021-12-13 06:49:21,55.237727,14.230752,7.7
2021-12-13 06:49:27,55.237887,14.230852,7.2
2021-12-13 06:49:30,55.237983,14.230913,7.0
2021-12-13 06:49:34,55.238112,14.230977,6.9
2021-12-13 06:49:38,55.238242,14.231038,7.5
2021-12-13 06:49:40,55.238335,14.231093,6.7
2021-12-13 06:49:47,55.238535,14.231215,8.3
2021-12-13 06:49:51,55.238662,14.231282,5.5
2021-12-13 06:49:54,55.23875,14.23132,8.4
2021-12-13 06:49:57,55.238882,14.231412,4.3
2021-12-13 06:50:00,55.238915,14.231437,3.7
2021-12-13 06:50:04,55.23898,14.231465,2.8
2021-12-13 06:50:07,55.239027,14.231465,4.3
2021-12-13 06:50:14,55.23918,14.231515,5.2
2021-12-13 06:50:17,55.239243,14.23153,3.8
2021-12-13 06:50:21,55.239317,14.231563,2.3
2021-12-13 06:50:23,55.239338,14.231575,2.7
2021-12-13 06:50:27,55.239363,14.231602,1.6
2021-12-13 06:50:30,55.239383,14.231622,1.8
2021-12-13 06:50:34,55.239397,14.231648,1.6
2021-12-13 06:50:37,55.239407,14.231665,0.9
2021-12-13 06:50:44,55.239417,14.23168,0.8
2021-12-13 06:50:47,55.239423,14.231673,1.1
2021-12-13 06:50:51,55.239432,14.23166,1.4
2021-12-13 06:50:54,55.239445,14.23164,2.2
2021-12-13 06:50:57,55.239457,14.231608,1.7
2021-12-13 06:51:00,55.239462,14.231588,1.6
2021-12-13 06:51:04,55.23947,14.231552,1.0
2021-12-13 06:51:10,55.23948,14.231537,1.7
2021-12-13 06:51:17,55.239477,14.231812,5.1
2021-12-13 06:51:21,55.23955,14.231918,9.6
2021-12-13 06:51:24,55.239687,14.23198,8.0
2021-12-13 06:51:27,55.23981,14.232045,5.7
2021-12-13 06:51:30,55.239862,14.232058,6.2
2021-12-13 06:51:37,55.240078,14.232198,6.5
2021-12-13 06:51:40,55.240142,14.232235,7.7
2021-12-13 06:51:47,55.24041,14.23234,7.4
2021-12-13 06:51:51,55.240517,14.232383,7.7
2021-12-13 06:51:57,55.240715,14.232487,7.1
2021-12-13 06:52:00,55.240808,14.232525,7.4
2021-12-13 06:52:03,55.240943,14.232587,8.2
2021-12-13 06:52:07,55.24108,14.232672,7.0
2021-12-13 06:52:10,55.241138,14.232708,6.7
2021-12-13 06:52:14,55.241268,14.232798,7.7
2021-12-13 06:52:17,55.241372,14.232873,7.9
2021-12-13 06:52:21,55.241523,14.232938,10.5
2021-12-13 06:52:24,55.241655,14.232985,8.7
2021-12-13 06:52:27,55.241795,14.233043,7.4
2021-12-13 06:52:30,55.241862,14.233058,7.1
2021-12-13 06:52:34,55.241977,14.233087,6.7
2021-12-13 06:52:37,55.24207,14.233097,6.8
2021-12-13 06:52:40,55.24215,14.233105,5.0
2021-12-13 06:52:44,55.242232,14.23311,4.4
2021-12-13 06:52:47,55.242302,14.233083,3.7
2021-12-13 06:52:54,55.242378,14.233055,0.6
2021-12-13 06:52:57,55.242363,14.233055,1.3
2021-12-13 06:53:00,55.242345,14.233057,1.9
2021-12-13 06:53:04,55.242302,14.233062,2.4
2021-12-13 06:53:07,55.242255,14.23306,2.5
2021-12-13 06:53:14,55.242197,14.233037,0.8
2021-12-13 06:53:17,55.242207,14.233028,2.4
2021-12-13 06:53:21,55.24224,14.23312,4.9
2021-12-13 06:53:24,55.242253,14.233258,7.1
2021-12-13 06:53:30,55.242282,14.233633,8.9
2021-12-13 06:53:34,55.242345,14.233925,10.0
2021-12-13 06:53:44,55.242658,14.234507,9.9
2021-12-13 06:53:47,55.24284,14.234537,10.0
2021-12-13 06:53:54,55.243108,14.234498,9.2
2021-12-13 06:53:57,55.243212,14.234428,6.9
2021-12-13 06:54:00,55.243292,14.234347,7.3
2021-12-13 06:54:04,55.243393,14.234183,6.8
2021-12-13 06:54:07,55.243455,14.234045,8.2
2021-12-13 06:54:10,55.243565,14.233858,8.8
2021-12-13 06:54:14,55.243645,14.233708,7.6
2021-12-13 06:54:17,55.24371,14.233575,6.7
2021-12-13 06:54:21,55.243798,14.233378,8.6
2021-12-13 06:54:23,55.243873,14.233208,8.5
2021-12-13 06:54:27,55.243947,14.233055,8.4
2021-12-13 06:54:30,55.244007,14.232893,8.0
2021-12-13 06:54:34,55.244073,14.232672,7.5
2021-12-13 06:54:37,55.244143,14.23246,7.5
2021-12-13 06:54:40,55.244167,14.23236,5.9
2021-12-13 06:54:44,55.244222,14.232197,5.4
2021-12-13 06:54:47,55.244267,14.232078,4.3
2021-12-13 06:54:54,55.244273,14.231907,2.5
2021-12-13 06:54:57,55.244252,14.231867,2.3
2021-12-13 06:55:01,55.244213,14.231832,2.9
2021-12-13 06:55:04,55.244192,14.231818,2.5
